manufacturer,family,base_device,icpn,marketing_status,source_url,observed_at,authority
STMicroelectronics,STM32L5,STM32L562RE,STM32L562RET6P,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562re.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562RE,STM32L562RET6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562re.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562RE,STM32L562RET6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562re.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562VE,STM32L562VET3,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ve.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562VE,STM32L562VET6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ve.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562VE,STM32L562VET6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ve.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562VE,STM32L562VET6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ve.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562ZE,STM32L562ZET6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ze.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562ZE,STM32L562ZET6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ze.html,2026-09-14,ST Quality & Reliability
STMicroelectronics,STM32L5,STM32L562ZE,STM32L562ZET6TR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32l562ze.html,2026-09-14,ST Quality & Reliability
