manufacturer,family,base_device,icpn,marketing_status,source_url,observed_at,authority
STMicroelectronics,STM32U3,STM32U3B5VI,STM32U3B5VIT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5vi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5VI,STM32U3B5VIT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5vi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5VI,STM32U3B5VIY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5vi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5WG,STM32U3B5WGY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5wg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5WI,STM32U3B5WIY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5wi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5ZG,STM32U3B5ZGT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5zg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5ZG,STM32U3B5ZGT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5zg.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5ZI,STM32U3B5ZIT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5zi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3B5ZI,STM32U3B5ZIT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3b5zi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5CI,STM32U3C5CIT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ci.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5CI,STM32U3C5CIT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ci.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5CI,STM32U3C5CIU6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ci.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5CI,STM32U3C5CIU6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ci.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5JI,STM32U3C5JIY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ji.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5QI,STM32U3C5QII6,Evaluation,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5qi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5QI,STM32U3C5QII6Q,Evaluation,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5qi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5RI,STM32U3C5RIT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ri.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5RI,STM32U3C5RIT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5ri.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5VI,STM32U3C5VIT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5vi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5VI,STM32U3C5VIT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5vi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5VI,STM32U3C5VIY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5vi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5WI,STM32U3C5WIY6QTR,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5wi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5ZI,STM32U3C5ZIT6,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5zi.html,2026-09-15,ST Quality & Reliability
STMicroelectronics,STM32U3,STM32U3C5ZI,STM32U3C5ZIT6Q,Active,https://www.st.com/en/microcontrollers-microprocessors/stm32u3c5zi.html,2026-09-15,ST Quality & Reliability
