manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32U375CET6,STM32U3,STM32U375,STM32U375CE,LQFP,48,512 KiB,-40..85 C,,,STM32U375CETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CET6Q,STM32U3,STM32U375,STM32U375CE,LQFP,48,512 KiB,-40..85 C,Q,STM32U375CETxQ,STM32U375CETxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CEU6,STM32U3,STM32U375,STM32U375CE,UFQFPN,48,512 KiB,-40..85 C,,,STM32U375CEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CEU6Q,STM32U3,STM32U375,STM32U375CE,UFQFPN,48,512 KiB,-40..85 C,Q,STM32U375CEUxQ,STM32U375CEUxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CEY6QTR,STM32U3,STM32U375,STM32U375CE,WLCSP,52,512 KiB,-40..85 C,QTR,STM32U375CEYxQ,STM32U375CEYxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CGT6,STM32U3,STM32U375,STM32U375CG,LQFP,48,1 MiB,-40..85 C,,,STM32U375CGTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CGT6Q,STM32U3,STM32U375,STM32U375CG,LQFP,48,1 MiB,-40..85 C,Q,STM32U375CGTxQ,STM32U375CGTxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CGT6TR,STM32U3,STM32U375,STM32U375CG,LQFP,48,1 MiB,-40..85 C,TR,,STM32U375CGTx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CGU6,STM32U3,STM32U375,STM32U375CG,UFQFPN,48,1 MiB,-40..85 C,,,STM32U375CGUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CGU6Q,STM32U3,STM32U375,STM32U375CG,UFQFPN,48,1 MiB,-40..85 C,Q,STM32U375CGUxQ,STM32U375CGUxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375CGY6QTR,STM32U3,STM32U375,STM32U375CG,WLCSP,52,1 MiB,-40..85 C,QTR,STM32U375CGYxQ,STM32U375CGYxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375KEU6,STM32U3,STM32U375,STM32U375KE,UFQFPN,32,512 KiB,-40..85 C,,,STM32U375KEUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375KGU6,STM32U3,STM32U375,STM32U375KG,UFQFPN,32,1 MiB,-40..85 C,,,STM32U375KGUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375KGU6TR,STM32U3,STM32U375,STM32U375KG,UFQFPN,32,1 MiB,-40..85 C,TR,,STM32U375KGUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375KGU7,STM32U3,STM32U375,STM32U375KG,UFQFPN,32,1 MiB,-40..105 C,,,STM32U375KGUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375REI6,STM32U3,STM32U375,STM32U375RE,UFBGA,64,512 KiB,-40..85 C,,,STM32U375REIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375REI6Q,STM32U3,STM32U375,STM32U375RE,UFBGA,64,512 KiB,-40..85 C,Q,STM32U375REIxQ,STM32U375REIxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375RET6,STM32U3,STM32U375,STM32U375RE,LQFP,64,512 KiB,-40..85 C,,,STM32U375RETx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375RET6Q,STM32U3,STM32U375,STM32U375RE,LQFP,64,512 KiB,-40..85 C,Q,STM32U375RETxQ,STM32U375RETxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U375RET6QTR,STM32U3,STM32U375,STM32U375RE,LQFP,64,512 KiB,-40..85 C,QTR,STM32U375RETxQ,STM32U375RETxQ,cmsis_device_name,deterministic_cmsis_device_name,tcl/target/stm32u3x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14861 Rev 3 Ordering Information,https://www.st.com/resource/en/datasheet/stm32u375vg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
