manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32U031C6T6,STM32U0,STM32U031,STM32U031C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32U031C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031C6U6,STM32U0,STM32U031,STM32U031C6,UFQFPN,48,32 KiB,-40 to 85 C,,,STM32U031C6Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031C8T6,STM32U0,STM32U031,STM32U031C8,LQFP,48,64 KiB,-40 to 85 C,,,STM32U031C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031C8T6TR,STM32U0,STM32U031,STM32U031C8,LQFP,48,64 KiB,-40 to 85 C,TR,,STM32U031C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031C8U6,STM32U0,STM32U031,STM32U031C8,UFQFPN,48,64 KiB,-40 to 85 C,,,STM32U031C8Ux,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031F4P3,STM32U0,STM32U031,STM32U031F4,TSSOP,20,16 KiB,-40 to 125 C,,,STM32U031F4Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031F4P3TR,STM32U0,STM32U031,STM32U031F4,TSSOP,20,16 KiB,-40 to 125 C,TR,,STM32U031F4Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031F4P6,STM32U0,STM32U031,STM32U031F4,TSSOP,20,16 KiB,-40 to 85 C,,,STM32U031F4Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031F6P6,STM32U0,STM32U031,STM32U031F6,TSSOP,20,32 KiB,-40 to 85 C,,,STM32U031F6Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32U031F8P6,STM32U0,STM32U031,STM32U031F8,TSSOP,20,64 KiB,-40 to 85 C,,,STM32U031F8Px,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32u0x.cfg,manufacturer_ordering_information,https://www.st.com/resource/en/datasheet/stm32u031c6.pdf,STMicroelectronics official,verified_st_datasheet_ordering_information_plus_retained_exact_identity
