manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32F301C6T6,STM32F3,STM32F301,STM32F301C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32F301C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f301c6.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F301C6T6TR,STM32F3,STM32F301,STM32F301C6,LQFP,48,32 KiB,-40 to 85 C,TR,,STM32F301C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f301c6.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F301C6T7,STM32F3,STM32F301,STM32F301C6,LQFP,48,32 KiB,-40 to 105 C,,,STM32F301C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f301c6.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F302C6T6,STM32F3,STM32F302,STM32F302C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32F302C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f302c6.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F303C6T6,STM32F3,STM32F303,STM32F303C6,LQFP,48,32 KiB,-40 to 85 C,,,STM32F303C6Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f303c6.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F318C8T6,STM32F3,STM32F318,STM32F318C8,LQFP,48,64 KiB,-40 to 85 C,,,STM32F318C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f318c8.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F318C8Y6TR,STM32F3,STM32F318,STM32F318C8,WLCSP,49,64 KiB,-40 to 85 C,TR,,STM32F318C8Yx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f318c8.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F334C4T6,STM32F3,STM32F334,STM32F334C4,LQFP,48,16 KiB,-40 to 85 C,,,STM32F334C4Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f334c4.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F373C8T6,STM32F3,STM32F373,STM32F373C8,LQFP,48,64 KiB,-40 to 85 C,,,STM32F373C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f373c8.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
STMicroelectronics,STM32F373C8T6TR,STM32F3,STM32F373,STM32F373C8,LQFP,48,64 KiB,-40 to 85 C,TR,,STM32F373C8Tx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32f3x.cfg,official_st_product_page_retained_browser_dual_surface_evidence,https://www.st.com/en/microcontrollers-microprocessors/stm32f373c8.html#plasma-evidence=stm32f3-phase4.4b-official-st-discovery-2026-09-08-retained-20260908T083224Z-0ac86cbf,STMicroelectronics official,verified_direct_st_retained_browser_exact_icpn
