manufacturer,icpn,family,series,base_device,package,pin_count,flash_size,temperature_grade,option_suffix,cmsis_device_name,existing_identifier,existing_identifier_kind,mapping_status,openocd_target_config,source_type,source_reference,source_authority,verification_status
STMicroelectronics,STM32WBA62CGU6,STM32WBA6X,STM32WBA62,STM32WBA62CG,UFQFPN,48,1 MiB,-40..85 C,,,STM32WBA62CGUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62CIU6,STM32WBA6X,STM32WBA62,STM32WBA62CI,UFQFPN,48,2 MiB,-40..85 C,,,STM32WBA62CIUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62CIU6TR,STM32WBA6X,STM32WBA62,STM32WBA62CI,UFQFPN,48,2 MiB,-40..85 C,TR,,STM32WBA62CIUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62MGF6TR,STM32WBA6X,STM32WBA62,STM32WBA62MG,Thin WLCSP,88,1 MiB,-40..85 C,TR,,STM32WBA62MGFx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62MIF6TR,STM32WBA6X,STM32WBA62,STM32WBA62MI,Thin WLCSP,88,2 MiB,-40..85 C,TR,,STM32WBA62MIFx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62PGI6,STM32WBA6X,STM32WBA62,STM32WBA62PG,UFBGA,121,1 MiB,-40..85 C,,,STM32WBA62PGIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62PGI6TR,STM32WBA6X,STM32WBA62,STM32WBA62PG,UFBGA,121,1 MiB,-40..85 C,TR,,STM32WBA62PGIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62PII6,STM32WBA6X,STM32WBA62,STM32WBA62PI,UFBGA,121,2 MiB,-40..85 C,,,STM32WBA62PIIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA62PII7,STM32WBA6X,STM32WBA62,STM32WBA62PI,UFBGA,121,2 MiB,-40..105 C,,,STM32WBA62PIIx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
STMicroelectronics,STM32WBA63CGU6,STM32WBA6X,STM32WBA63,STM32WBA63CG,UFQFPN,48,1 MiB,-40..85 C,,,STM32WBA63CGUx,ordering_pattern,deterministic_ordering_pattern,tcl/target/stm32wba6x.cfg,official_st_datasheet_ordering_information_plus_retained_exact_identity,DS14736 Rev 3 Ordering information,https://www.st.com/resource/en/datasheet/stm32wba64cg.pdf,verified_st_datasheet_ordering_information_plus_retained_exact_identity
