vendor,family,subfamily,part_number,identifier_kind,cmsis_device,target_config,cpu_architectures,flash_drivers,openocd_distribution,openocd_commit,source_pack_vendor,source_pack_name,source_pack_version,source_kind,source_url,source_content_sha256,mapping_rule_id,mapping_status,validation_status
Analog Devices,MAX32670 family,,MAX32670,cmsis_device_name,MAX32670,tcl/target/max32670.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32670,1.1.0,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32670.pdsc,1ad15d1960e31f92bb2e28b214abd9cd11531991a520913dd499519e5186a584,adi-max32670,mapping_candidate,not_verified
Analog Devices,MAX32672 family,,MAX32672,cmsis_device_name,MAX32672,tcl/target/max32672.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32672,1.6.0,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32672.pdsc,dac07d7825fa09ff10df9ac7464c3323882d5abd4d20f325d57e2def93ba6913,adi-max32672,mapping_candidate,not_verified
Analog Devices,MAX32675 family,,MAX32675,cmsis_device_name,MAX32675,tcl/target/max32675.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32675,1.3.2,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32675.pdsc,e9ccc2d26469be26a1c9db724d5f0ba727dc5936aa7ae84444c1e6de1dd5facb,adi-max32675,mapping_candidate,not_verified
Analog Devices,MAX32680,,MAX32680,cmsis_device_name,MAX32680,tcl/target/max32680.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,AnalogDevices,MSDK-user-guide,e0446b176b7080098fecddd174317ba47946695e,vendor_sdk_text,https://raw.githubusercontent.com/analogdevicesinc/msdk/e0446b176b7080098fecddd174317ba47946695e/USERGUIDE.md,d8f9f05e9a7f989b94a6440f2e036349fad98cc304fdc76599da67e1759a597b,adi-max32680,mapping_candidate,not_verified
Analog Devices,MAX32690 family,,MAX32690,cmsis_device_name,MAX32690,tcl/target/max32690.cfg,"[""ARM Cortex-M""]","[""max32xxx""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,Maxim,MAX32690,1.3.0,cmsis_pdsc,https://www.mxim.net/microcontroller/pack/Maxim.MAX32690.pdsc,c9d91c14ce8a8e10aedee0853269dcba570d63c501ffda547f72b13962c5d73a,adi-max32690,mapping_candidate,not_verified
Artery,AT32,,AT32F403ACCT7,manufacturer_part_number,AT32F403ACCT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403ACCU7,manufacturer_part_number,AT32F403ACCU7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403ACET7,manufacturer_part_number,AT32F403ACET7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403ACEU7,manufacturer_part_number,AT32F403ACEU7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403ARCT7,manufacturer_part_number,AT32F403ARCT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403ARET7,manufacturer_part_number,AT32F403ARET7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403AVCT7,manufacturer_part_number,AT32F403AVCT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F403AVET7,manufacturer_part_number,AT32F403AVET7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F407RCT7,manufacturer_part_number,AT32F407RCT7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
Artery,AT32,,AT32F407RET7,manufacturer_part_number,AT32F407RET7,tcl/target/artery/at32f4x.cfg,"[""ARM Cortex-M""]","[""artery""]",upstream-openocd,56b8d93fbe61a78dc903d770820d6d896b6d8134,ArteryTek,PlatformIO-boards,7313140183db3ca5e74e723c2abcc4da82992dc5,vendor_board_archive,https://github.com/ArteryTek/platform-arterytekat32/archive/7313140183db3ca5e74e723c2abcc4da82992dc5.tar.gz,90f20a664462528fdf414d0833a1e5f70b6cc2edcbf3ae154b3cc8ad131a419a,artery-at32f4,mapping_candidate,not_verified
