[2025-06-27 12:33:52,554] Server running on port 9000 for IC: cc2340r5
[2025-06-27 12:34:00,506] Connected with ('127.0.0.1', 46350)
[2025-06-27 12:34:00,506] Connected with ('127.0.0.1', 46352)
[2025-06-27 12:34:00,507] Connected with ('127.0.0.1', 46366)
[2025-06-27 12:34:00,507] Connected with ('127.0.0.1', 46378)
[2025-06-27 12:34:00,507] Received 1028 bytes from ('127.0.0.1', 46350)
[2025-06-27 12:34:00,507] Received 1028 bytes from ('127.0.0.1', 46352)
[2025-06-27 12:34:00,508] Received 1028 bytes from ('127.0.0.1', 46366)
[2025-06-27 12:34:00,508] Received 1028 bytes from ('127.0.0.1', 46378)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 50410)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 50420)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 50428)
[2025-06-27 12:34:15,132] Connected with ('127.0.0.1', 50444)
[2025-06-27 12:34:15,132] Received 1028 bytes from ('127.0.0.1', 50410)
[2025-06-27 12:34:15,132] Received 1028 bytes from ('127.0.0.1', 50420)
[2025-06-27 12:34:15,133] Received 1028 bytes from ('127.0.0.1', 50428)
[2025-06-27 12:34:15,133] Received 1028 bytes from ('127.0.0.1', 50444)
